analysis_id,626cc7042zq319e
pvalue,0.1289936
parameter_name,Potassium
mouse_strain,C57BL
parameter_id,GMC_906_001_005
gene_symbol,Mapkap1
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
