analysis_id,5gh8scq671m996a
pvalue,0.946706
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Cornea
