analysis_id,yva9tur1332dv9g
parameter_name,BMC/Body weight
mouse_strain,C57BL
gene_symbol,Kif24
pvalue,0.7530745
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
