analysis_id,u220rv3n2u9z77r
parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:2441730
parameter_id,IMPC_IMM_046_001
pvalue,0.1979527
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
