analysis_id,1f770vk546aj6n4
gene_symbol,Fgb
parameter_name,Limb morphology
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
pvalue,0.4756956
