parameter_name,Eosinophils
gene_accession_id,MGI:1921262
analysis_id,3q6259z4637o0ka
mouse_life_stage,Early adult
pvalue,0.5482409
parameter_id,IMPC_IMM_052_001
gene_symbol,Rap2b
mouse_strain,C57BL
