parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
gene_symbol,Tox
pvalue,5.218563e-05
mouse_strain,C57BL
parameter_id,IMPC_ABR_006_001
gene_accession_id,MGI:2181659
analysis_id,i1gv02ux39nwmp8
