parameter_name,Delayed embryonic development
parameter_id,IMPC_GEL_063_001
pvalue,0.3196796
gene_accession_id,MGI:1914583
mouse_strain,C57BL
analysis_id,652a3c90b265mwm
gene_symbol,Stk35
mouse_life_stage,Early adult
