analysis_id,f0hpk8yb1qh58hl
mouse_strain,C57BL
pvalue,0.7400914
parameter_name,Body Weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
gene_symbol,Extl1
parameter_id,M-G-P_012_001_005
