parameter_name,Snout morphology
gene_symbol,Zyg11b
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:2685277
analysis_id,8bjux61wn8y96x8
mouse_strain,C57BL
pvalue,0.9370302
mouse_life_stage,E18.5
