analysis_id,218a27880khg8v4
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:1913838
mouse_strain,C57BL
pvalue,1.308744
parameter_name,Aspartate aminotransferase
