parameter_name,DN CD44+CD62L+ NKT cells
analysis_id,2cmrz8c32c1ucp4
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Cdin1
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:3026886
pvalue,0.4295938
