gene_symbol,F2
mouse_life_stage,Early adult
analysis_id,g0o1d0d8p2o1ewt
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:88380
mouse_strain,C57BL
pvalue,0.08113875
parameter_id,IMPC_IMM_025_001
