analysis_id,5991h28o24q8990
parameter_name,Lymphocyte differential count
pvalue,0.8269901
parameter_id,IMPC_HEM_031_001
mouse_life_stage,Late adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
