parameter_name,Joints
mouse_life_stage,Early adult
pvalue,0.6992076
gene_symbol,Etfdh
mouse_strain,C57BL
analysis_id,0r78y34o8j1vk5i
parameter_id,IMPC_XRY_027_001
gene_accession_id,MGI:106100
