parameter_id,GMC_906_001_005
mouse_life_stage,E9.5
analysis_id,f1r0g1bwrz28062
mouse_strain,C57BL
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
pvalue,0.2934126
parameter_name,Potassium
