gene_symbol,Jun
parameter_id,JAX_OFD_022_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:96646
pvalue,0.8130465
parameter_name,Percentage center time
analysis_id,2w3ix9enl2jnuz9
