gene_symbol,Zyg11b
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,xp11975lbf9m215
parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
pvalue,0.4273833
gene_accession_id,MGI:2685277
