analysis_id,yr4fjsas75308xr
pvalue,0.1543939
gene_symbol,Ap5s1
mouse_strain,C57BL
parameter_id,JAXLA_CSD_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
parameter_name,Hindlimbs - size
