parameter_id,IMPC_GRS_011_001
mouse_life_stage,Early adult
pvalue,0.3446023
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
analysis_id,muk0r3r136m99l6
mouse_strain,C54BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
