gene_symbol,Pglyrp3
analysis_id,3tj94sq37hn8l9s
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.1911534
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:2685266
mouse_strain,C57BL
