gene_symbol,Npbwr1
gene_accession_id,MGI:891989
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
pvalue,0.05428021
analysis_id,2iumh3fz815y8u9
mouse_life_stage,Early adult
parameter_name,Center resting time
