gene_symbol,Ufc1
pvalue,0.3774757
mouse_strain,C57BL
analysis_id,958dul42w73941s
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_id,ESLIM_014_001_008
