analysis_id,tfw71fy2d0k65d0
parameter_name,Prepulse inhibition - PP2
gene_symbol,Lpgat1
pvalue,0.7940842
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,E18.5
