parameter_name,Chloride
analysis_id,0su114n33825pd8
pvalue,0.09760118
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
mouse_strain,C57BL
