analysis_id,z3mxvp76573z8i0
mouse_strain,C57BL
parameter_name,Thoracic processes
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
parameter_id,IMPC_XRY_064_001
pvalue,0.8622557
gene_symbol,Lpgat1
