analysis_id,7pv6c14102nebbb
pvalue,0.7553634
gene_accession_id,MGI:109356
parameter_id,JAXLA_CSD_021_001
parameter_name,Hindlimbs - shape
gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
