gene_symbol,Npbwr1
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
parameter_name,Global prepulse inhibition
mouse_strain,C57BL
pvalue,0.7356964
gene_accession_id,MGI:891989
analysis_id,6y4js6b2sri9383
