parameter_id,IMPC_GEO_019_001
analysis_id,6137s0u9g6w27o8
parameter_name,Embryo Size
pvalue,0.4665508
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
mouse_strain,C57BL
