analysis_id,ckbp79t77d6m47h
mouse_strain,C57BL
parameter_id,MGP_IMM_081_001
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.6916269
mouse_life_stage,Early adult
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
