parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
gene_symbol,Ints7
analysis_id,4qwo3136981ya74
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3586823
