analysis_id,xjjv91831z91445
parameter_id,MGP_IMM_067_001
mouse_life_stage,Early adult
gene_symbol,Duoxa2
parameter_name,CD11b-low cDC - % of cDC
pvalue,0.699803
mouse_strain,C57BL
gene_accession_id,MGI:1914061
