gene_symbol,Tubb4b
parameter_id,IMPC_OFD_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_name,Periphery average speed
pvalue,0.7332951
mouse_strain,C57BL
analysis_id,b8ewp19a8qr1k74
