analysis_id,j4w665n089gf4j8
pvalue,0.4559535
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,C57BL
gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
parameter_id,JAXLA_GRS_010_001
