analysis_id,1hj6t7k83f15h85
parameter_id,IMPC_IMM_069_001
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
pvalue,0.8007204
gene_symbol,Cd52
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
