parameter_name,Center average speed
gene_symbol,Col6a3
parameter_id,JAX_OFD_017_001
pvalue,0.8261451
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
analysis_id,0m9a5e9m8c6196h
