parameter_id,JAX_OFD_009_001
gene_symbol,Slc30a4
parameter_name,Whole arena average speed
gene_accession_id,MGI:1345282
analysis_id,j5bri5cws37tf5z
mouse_strain,C57BL
pvalue,0.6005759
mouse_life_stage,Late adult
