gene_symbol,Col11a1
pvalue,0.2825664
mouse_life_stage,E18.5
gene_accession_id,MGI:88446
mouse_strain,C57BL
analysis_id,183m6q7xomv2l6m
parameter_name,KLRG1+ Treg cells - % of CD45+
parameter_id,MGP_IMM_079_001
