parameter_name,Distance travelled - total
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
pvalue,0.6002917
analysis_id,4fkpdc96o16n0x9
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
