parameter_name,Respiration Rate
gene_accession_id,MGI:2140475
parameter_id,IMPC_ECH_018_001
pvalue,0.7836357
gene_symbol,AU040320
analysis_id,q74pk12wd189546
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
