analysis_id,x8y410v2pt640sa
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.4818919
