analysis_id,886018kwl04sx6q
pvalue,0.1713297
gene_symbol,Lpgat1
parameter_name,Monocyte percentage
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
parameter_id,MGP_PBI_016_001
