analysis_id,1xfnd37ssei5st5
mouse_strain,C57BL
gene_symbol,Npbwr1
parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
pvalue,0.5665694
parameter_name,Lens
