analysis_id,39j63c7q70x3453
pvalue,0.7546097
parameter_id,IMPC_CBC_003_001
mouse_strain,C52BL
gene_accession_id,MGI:1918345
parameter_name,Chloride
gene_symbol,Kif24
mouse_life_stage,Early adult
