analysis_id,q20m45ujw07bl34
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_name,Body Weight
mouse_life_stage,E9.5
parameter_id,M-G-P_020_001_001
mouse_strain,C57BL
pvalue,0.1307084
