parameter_name,Periphery - Permanence Time
mouse_life_stage,E9.5
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1914515
analysis_id,9rqk220e1598f60
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.1421961
