analysis_id,uu8cole77560x02
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Mov10
pvalue,0.1433775
gene_accession_id,MGI:97054
mouse_strain,C57BL
parameter_id,MGP_IMM_078_001
