analysis_id,81fgnj595rqlz90
gene_symbol,Gfi1b
parameter_id,MGP_IMM_110_001
pvalue,0.1058248
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
parameter_name,Transitional 1 B cells - % of CD45+
mouse_strain,C57BL
