analysis_id,6h7yis574ssw2sw
pvalue,0.05854788
mouse_life_stage,Middle aged adult
parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
