parameter_name,Eosinophils
gene_accession_id,MGI:1924315
parameter_id,IMPC_IMM_052_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4r0qfk97589uq30
gene_symbol,Ints7
pvalue,0.236659
