parameter_name,Monocyte percentage
pvalue,0.3546148
analysis_id,dzg22z81907q8fy
mouse_strain,129SV
gene_symbol,Bpifa3
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
