analysis_id,c24rr4lawolmhvs
parameter_id,MGP_MLN_063_001
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_name,Total ab T cells - % of CD45+
pvalue,0.0697418
mouse_life_stage,Early adult
mouse_strain,C57BL
