parameter_name,Head coat/hair presence
parameter_id,MGP_CSD_015_001
gene_symbol,Dmap1
pvalue,0.6162258
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,81tln6kl2qq1m28
