gene_symbol,Ola1
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
analysis_id,9c53xsh59v605q4
pvalue,0.5488534
parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
