parameter_name,Total food intake
mouse_strain,C57BL
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
pvalue,0.05020603
analysis_id,71x52534x36f9b7
mouse_life_stage,Early adult
parameter_id,IMPC_CAL_008_001
