analysis_id,3rrrfzy1f874683
pvalue,0.7499653
gene_symbol,Ola1
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
parameter_name,Eye
mouse_strain,C57BL
