gene_symbol,Gja10
gene_accession_id,MGI:1339969
parameter_name,Cue Baseline % Freezing Time
parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,gi69bz3r993o315
pvalue,0.572155
