analysis_id,oe9i6ke0872h2md
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9479656
gene_symbol,Maco1
gene_accession_id,MGI:1913396
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
