parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:1927379
pvalue,0.1953635
parameter_id,IMPC_EYE_092_002
analysis_id,l6tv7pdo04135u8
gene_symbol,Rhbg
mouse_life_stage,Early adult
