parameter_id,MGP_IMM_041_001
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Tiprl
mouse_life_stage,Early adult
pvalue,0.1991701
gene_accession_id,MGI:1915087
analysis_id,4niqvdcq949a61l
