analysis_id,8ar2g7py4c47163
gene_symbol,Gfi1b
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
pvalue,0.281514
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
parameter_id,MGP_MLN_071_001
