parameter_name,Retina (combined)
analysis_id,076073ma4rv963n
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
gene_symbol,Bach2
pvalue,0.37069
