analysis_id,0hmh49qsul5x814
parameter_id,MGP_PBI_009_001
pvalue,0.4395237
gene_symbol,Gja10
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1339969
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
