gene_symbol,Ola1
parameter_name,Shape of ribcage
pvalue,0.1628807
gene_accession_id,MGI:1914309
parameter_id,IMPC_XRY_059_001
analysis_id,o7s1814qq0vn97h
mouse_life_stage,E18.5
mouse_strain,C57BL
